# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -0.853919, 0.0592671, 1.00035, 0.0521473, -0.922334, -1.22169, -1.1339, -1.27647, -2.11505, -0.25475, 0.572519, -0.629892, -0.215633, -0.497508, -1.99246, -2.09946, -1.50291, -0.382257, -1.27586, -1.5261, -1.47456, -1.75839, -1.68472, -1.68257, -1.62101, -1.66218, -1.58498, -2.55924, -5.81019, -5.42112
0.02, 0.0319375, -0.598801, 0.240733, 1.13374, 1.63814, 3.75962, 3.49326, 2.31964, 1.4533, 1.9298, 2.0616, 2.22193, 2.08259, 1.87992, 1.61808, 1.58638, 1.52852, 0.542989, 0.586546, 0.575343, -0.355101, -0.959031, -1.36071, -1.42849, -0.720753, -0.81497, -1.75317, -2.77567, -3.103, -4.00841, -4.2347
0.04, 0.0319375, -0.13102, 0.61403, 2.02532, 1.57786, 4.09669, 4.89096, 2.95402, 2.54689, 2.58324, 3.13783, 2.91957, 3.38307, 3.48233, 3.05652, 2.04731, 2.78361, 2.40144, 2.1374, 2.39527, 2.17582, 1.61645, -0.327675, 0.529264, 0.822751, 0.0181791, -0.580865, -0.498686, -1.48889, -2.54368, -2.36736
0.06, 0.0319375, 0.182679, -0.27651, 1.70797, 3.31723, 3.13513, 3.78172, 3.68552, 2.35194, 3.19815, 3.07544, 3.84164, 3.87716, 4.14923, 3.64747, 3.0513, 3.65142, 3.41694, 3.24745, 3.20652, 3.18441, 2.22945, 0.785917, 0.800541, 0.996281, 1.01876, 0.424092, 0.0796419, -0.731439, -1.55454, -1.50504
0.08, 0.0319375, -0.00636273, 0.0978228, 0.441744, 2.99059, 3.84333, 4.06174, 3.2729, 2.27975, 2.58268, 3.90771, 3.63018, 4.05139, 3.80432, 3.51976, 3.58497, 3.13615, 3.33722, 2.9128, 3.43805, 3.18709, 2.21175, 0.810852, 1.11132, 1.00402, 0.953979, 0.763375, 0.652176, -0.288933, -1.83308, -1.46907
0.1, 0.0319375, -0.928813, -0.117798, 0.323139, 2.11713, 3.83905, 3.40212, 2.32636, 2.57425, 2.26369, 4.0938, 3.62022, 3.34081, 2.81721, 3.72515, 3.08994, 3.09524, 3.40027, 3.2798, 3.74272, 2.91814, 2.23456, 0.976579, 1.07712, 1.83654, 1.41759, 0.679197, -0.21497, -1.00773, -1.68186, -1.22849
0.12, 0.0319375, -0.549363, -0.00860106, 0.528219, 1.85657, 4.46381, 4.03181, 2.1195, 2.79338, 2.51116, 3.94633, 3.47355, 2.7669, 3.07944, 2.99357, 2.70577, 2.56443, 2.50416, 2.39846, 3.16768, 2.64365, 1.88068, 0.578043, 0.674375, 0.648328, 0.920472, 0.244468, -0.307776, -1.33613, -2.58548, -1.78498
0.14, 0.0319375, -0.330475, -0.0518018, 0.103746, 1.98136, 3.97267, 3.70386, 1.69726, 2.42983, 2.56998, 3.66138, 2.89022, 2.54637, 2.75833, 2.98155, 1.98426, 1.36277, 1.73636, 1.69655, 1.89801, 2.13496, 1.33618, -0.0751475, 0.143381, 0.650616, 0.760841, 0.302505, -0.305061, -1.56297, -3.52062, -2.75698
0.16, 0.0319375, -1.40934, -1.3218, -1.60176, 1.32333, 3.09736, 3.05546, 2.97807, 2.56909, 2.01814, 3.07542, 2.89782, 3.00634, 2.40057, 2.27928, 1.43815, 1.16809, 1.44945, 1.43806, 2.06812, 1.59394, 0.652255, -0.59311, -0.193262, 0.441529, 0.263671, -0.10256, -0.603854, -1.69824, -3.83079, -2.905
0.18, 0.0319375, -1.80904, -1.27124, -0.999792, 1.3251, 3.46393, 4.11384, 1.94268, 1.58351, 2.10044, 2.72471, 2.13941, 2.92369, 2.46507, 2.04325, 1.58053, 1.35905, 0.955689, 0.555736, 0.407692, 1.26986, 0.807045, -0.717222, 0.301013, 0.0212585, -0.0963898, -0.360243, -0.274637, -2.15875, -3.75051, -3.86417
0.2, 0.0319375, -2.05765, -2.21846, -0.347841, 1.39661, 3.64191, 3.91832, 2.39688, 1.59744, 1.79438, 2.3354, 2.61665, 1.61539, 1.9144, 1.88983, 1.0589, 0.786601, 0.782944, 0.965909, 1.03886, 0.862356, -0.0665768, -0.804019, -0.406867, -0.087258, -0.277844, -0.551813, -0.865477, -2.30795, -4.13438, -3.68226
0.22, 0.0319375, -2.97507, -1.59682, 0.30409, 1.61668, 2.15372, 2.56991, 1.21022, 1.42711, 1.98232, 2.34656, 2.12562, 0.934555, 1.13706, 1.17566, 0.96806, 0.226567, 0.294622, -0.102668, 0.140997, 0.117743, -0.510623, -1.52474, -1.01072, -0.931806, -1.2689, -1.24854, -1.30425, -2.68571, -4.75781, -4.50653
0.24, 0.0319375, -2.27924, -1.17464, 0.772165, 1.40307, 1.59076, 1.38414, 0.58357, 1.15363, 1.41566, 1.89963, 1.61328, 0.784104, 0.729598, 0.890989, 0.522937, -0.0213317, -0.271418, 0.155169, 0.0698374, -0.21906, -1.27584, -1.85639, -1.65744, -1.0934, -1.064, -1.38623, -1.63287, -3.06506, -4.92394, -4.58933
0.26, 0.0319375, -2.92816, -0.389041, 1.42397, 1.23428, 1.20775, 1.42166, 0.442843, 1.12156, 1.14542, 0.962929, 0.788526, 0.427844, 0.351948, 0.989995, 0.477443, -0.169256, -0.267251, -0.282472, -0.384381, -0.673058, -1.01725, -2.18359, -2.40657, -1.42897, -1.59911, -1.73404, -1.90703, -3.23806, -5.18274, -4.96752
0.28, 0.0319375, -3.21089, -0.24043, 1.0016, 0.501417, 0.867687, 1.30869, 0.829007, 0.936857, 0.619654, 1.17983, 0.759528, 0.431776, 0.235283, 0.0244632, -0.115971, -0.72298, -1.15399, -0.67438, -0.67919, -1.09906, -1.80605, -2.95342, -2.63928, -1.80422, -1.79748, -2.19749, -2.24044, -3.24634, -5.28543, -5.18981
0.3, 0.0319375, -3.15725, -0.0904322, 1.01692, -0.910581, 0.741565, 0.828624, 0.516002, 0.524845, 0.549981, 0.922756, 0.814861, 0.200344, -0.0752796, 0.00869087, 0.039485, -0.265435, -0.410512, -0.692892, -0.988179, -1.00695, -2.17226, -3.24075, -2.30014, -1.75935, -2.0293, -2.56685, -2.69594, -3.29073, -5.06224, -5.29544
0.32, 0.0319375, -2.63371, 0.159412, 1.51491, -0.0401746, 0.729128, 0.554629, 0.671159, 0.704135, 0.194893, 0.576259, 0.402513, 0.0136316, -0.355063, -0.101508, -0.60255, -0.616973, -0.987776, -1.09657, -1.28988, -1.60138, -2.15105, -3.28611, -2.92006, -2.30959, -2.17793, -2.30213, -2.30824, -3.52474, -5.72495, -5.66569
0.34, 0.0319375, -3.15474, -1.22165, 1.21068, 1.72979, 0.965116, 0.511789, 0.858801, 0.835869, 1.11908, 0.600538, 0.0691118, -0.245274, 0.058971, -0.133784, -0.126435, -0.332638, -0.373959, -0.933471, -0.960795, -1.46913, -2.39553, -3.23829, -2.73203, -2.32285, -2.19383, -2.4292, -2.769, -3.97736, -5.47825, -5.51021
0.36, 0.0319375, -2.73534, -1.31766, 0.134266, 2.27653, 4.14404, 3.74043, 1.1672, 0.333414, 1.08403, 2.03593, 2.56155, 1.16953, 1.00292, 1.86782, 1.96545, 0.783697, 0.88757, 0.633354, -0.412566, -0.0335968, -0.957329, -2.49366, -1.93803, -0.639376, -0.749034, -2.0357, -2.53445, -3.24965, -3.98094, -4.19415
0.38, 0.0319375, -0.982626, -0.63563, 0.0978901, 1.0483, 4.38633, 4.99768, 2.09576, 1.10641, 0.935412, 1.56489, 3.00144, 2.5308, 0.892722, 0.557302, 2.93631, 2.58643, 0.630812, 1.58214, 0.056849, 0.275806, 0.530806, -0.944869, 0.235826, -0.0460948, 0.296886, -1.08629, -1.33858, -2.26747, -2.8177, -3.63612
0.4, 0.0319375, -1.42296, -0.568672, 0.0269629, 2.47071, 3.62117, 3.71218, 2.59384, 2.28571, 2.53385, 3.45057, 3.77892, 3.38829, 2.57177, 2.75848, 3.0366, 2.82954, 2.1842, 1.84135, 1.76298, 2.01766, 1.86504, 0.306107, 0.309178, 0.764797, 0.415367, 0.0160325, 0.34096, -1.21194, -2.5375, -2.73517
0.42, 0.0319375, -1.12024, -0.453157, 0.517398, 3.12711, 3.82205, 2.69441, 2.29339, 2.76573, 3.09705, 3.70681, 3.39164, 3.08757, 2.80804, 3.06788, 2.79806, 2.8329, 2.23419, 2.42867, 2.5558, 2.65346, 2.14082, 0.90736, 1.36327, 1.21701, 0.664723, 0.472936, 0.312511, -0.973527, -2.66315, -2.26457
0.44, 0.0319375, -0.551896, -0.354728, -0.0694679, 2.31435, 4.0867, 3.21702, 2.24773, 2.2894, 3.15606, 3.65528, 3.15982, 1.8259, 2.2757, 2.91163, 2.16738, 2.27019, 2.55781, 2.66659, 2.69611, 2.21346, 1.30705, 0.728005, 1.00371, 1.27789, 0.700049, 0.553871, 0.12609, -1.0533, -2.84641, -2.17003
0.46, 0.0319375, -0.88458, 0.333568, 0.337965, 1.56667, 4.10559, 4.01162, 2.4228, 2.73572, 3.33106, 3.09436, 2.59348, 2.34212, 1.98014, 2.66939, 2.6076, 2.26865, 2.02812, 2.46572, 2.30342, 2.08988, 1.31948, 0.340226, 0.807482, 1.09728, 0.439927, 0.409238, -0.488091, -1.59555, -2.61728, -2.34023
0.48, 0.0319375, -1.49772, -0.731555, -0.791227, 2.29941, 3.60829, 3.76973, 2.40632, 2.39335, 3.09986, 3.39725, 2.44497, 2.14814, 2.021, 2.63454, 2.17415, 1.82922, 1.49958, 2.12, 2.38793, 1.41711, 0.495762, -0.144963, -0.026986, 0.938345, 0.52678, 0.225444, -0.634747, -1.19294, -3.21472, -2.52604
